"Country","year","pandem","libdem_2019","panback","Bicameralism legislature","Total score","Status","Judicial review","Executive dominance","Minimal winning/ one-party c","bicameralism","pluralism","federalism","Indicator Name","2018","2019","total_cases","total_deaths","total_vaccinations","population","population_density","gdp_per_capita","Rate - World Bank ","Year (WB)","Rate - Int'l. Labour Org.","Year (ILO)","Rate - CIA","Year (CIA)","rank","happiness2021","happiness2020","pop2022"
"Norway",2021,0.1,0.857,0.0490204,1,100,"Free",1.05368965517241,0.848916256157635,0.258379310344828,0,-0.298586206896552,1.88005110837438,"Gini index",27.6,27.7,149371.202739726,793.090410958904,4405077.92054795,5465629,14.462,64800.057,0.044,"2020",0.044,2020,0.0372,2019,6,7.392,7.488,5511.37
"Pakistan",2021,0.15,0.235,0.107865,2,37,"Partly Free",1.00531147540984,0.414081967213115,0.184393442622951,0.821360655737705,-0.0446967213114754,1.09229735883424,"Gini index",29.6,0,1104723.37142857,24769.8428571429,64018737.8357143,225199929,255.573,5034.708,0,"0",0,0,0,0,103,4.934,5.693,229488.994
"Panama",2021,0.2,0.563,0.1968248,1,83,"Free",0.767436974789916,0.335756302521008,0.514235294117647,0.0954661344537815,0.0921890756302521,-0.0598194136321195,"Gini index",49.2,49.8,380309.7125,6216.0125,1682843.3375,4381583,55.133,22267.037,0,"0",0,0,0,0,40,6.18,6.305,4446.964
"Papua New Guinea",2021,0.25,0.325,0.219375,1,62,"Partly Free",1.716,0.677225806451613,0.676548387096774,0,0.0548346774193548,1.77036491935484,"Gini index",0,0,19014.5384615385,229.230769230769,136810.192307692,9119005,18.22,3823.194,0,"0",0,0,0,0,0,0,0,0
"Paraguay",2021,0.25,0.429,0.244959,2,65,"Partly Free",0.402737704918033,0.295213114754098,-0.41277868852459,0.754098360655738,0.244008196721311,2.70321204462659,"Gini index",46,45.7,349563.350710901,10149.36492891,1483437.77725118,7219641,17.144,8827.01,0,"0",0,0,0,0,70,5.653,5.692,7305.843
"Peru",2021,0.05,0.662,0.0447512,1,72,"Free",1.054,0.597253968253968,0.747269841269841,0.523809523809524,-0.0430357142857143,3.77441150793651,"Gini index",42.4,41.6,1957203.9969419,180285.443425076,16957498.9785933,33359415,25.129,12236.706,0.074,"2020",0.071,2020,0.0658,2019,62,5.84,5.797,33684.208
"Philippines",2021,0.4,0.298,0.3347136,2,55,"Partly Free",1.46780327868852,0.494655737704918,0.191344262295082,0.739950819672131,-0.0686844262295082,3.46113267304189,"Gini index",42.3,0,1762452.2295082,29294.6994535519,29424138.5136612,111046910,351.873,7599.188,0.025,"2020",0.022,2019,0.0511,2019,60,5.88,6.006,112508.994
"Poland",2020,0.316666666666667,0.533,0.315287266666667,2,81,"Free",-0.529134920634921,0.423714285714286,-0.16784126984127,0.396050952380952,0.0022718253968254,1.79220180776014,"Gini index",30.2,0,1276484,27793.5,23050,37797000,124.027,27216.445,0.032,"2020",0.032,2020,0.0543,2019,43,6.166,6.186,37739.785
"Poland",2021,0.25,0.533,0.248911,2,81,"Free",-0.529134920634921,0.423714285714286,-0.16784126984127,0.396050952380952,0.0022718253968254,1.79220180776014,"Gini index",30.2,0,2668231.30564784,66601.853820598,23734896.2491694,37797000,124.027,27216.445,0.032,"2020",0.032,2020,0.0543,2019,43,6.166,6.186,37739.785
"Portugal",2020,0,0.835,0,1,95,"Free",-1.617,0.347884615384615,0,0.747110576923077,0.509663461538462,0,"Gini index",33.5,32.8,402194,6756.6,19275.4,10167923,112.371,27936.896,0.068,"2020",0.068,2020,0.0655,2019,57,5.929,5.911,10140.57
"Portugal",2021,0,0.835,0,1,95,"Free",-1.617,0.347884615384615,0,0.747110576923077,0.509663461538462,0,"Gini index",33.5,32.8,896568.404682274,16363.8227424749,7716573.75250836,10167923,112.371,27936.896,0.068,"2020",0.068,2020,0.0655,2019,57,5.929,5.911,10140.57
"Romania",2020,0.0333333333333333,0.467,0.0331881333333333,2,83,"Free",-0.719817204301075,0.279543010752688,0.0726451612903226,0.521083333333333,0.136577956989247,0.348348661887694,"Gini index",35.8,34.8,623501.6,15479.2,4352.8,19127772,85.129,23313.199,0.05,"2020",0.05,2020,0.0306,2019,45,6.14,6.124,19031.335
"Romania",2021,0,0.467,0,2,83,"Free",-0.719817204301075,0.279543010752688,0.0726451612903226,0.521083333333333,0.136577956989247,0.348348661887694,"Gini index",35.8,34.8,1150720.81643836,33621.7424657534,7731775.5369863,19127772,85.129,23313.199,0.05,"2020",0.05,2020,0.0306,2019,45,6.14,6.124,19031.335
"Russia",2020,0.266666666666667,0.11,0.104426666666667,2,19,"Not Free",-1.40729565217391,0.152547826086957,0.0532347826086957,0.775762797826087,0.425380434782609,0.0254123884057971,"FALSE",0,0,2780624,49342,40250,145912022,8.823,24765.954,0.056,"2020",0.045,2019,0.046,2019,74,5.477,5.546,145805.947
"Russia",2021,0.25,0.11,0.0979,2,19,"Not Free",-1.40729565217391,0.152547826086957,0.0532347826086957,0.775762797826087,0.425380434782609,0.0254123884057971,"FALSE",0,0,6515191.37634409,169304.397849462,64196399.5734767,145912022,8.823,24765.954,0.056,"2020",0.045,2019,0.046,2019,74,5.477,5.546,145805.947
